food_name,food_id,food_type,food_url,calcium,calories,carbohydrate,cholesterol,fat,fiber,iron,potassium,protein,saturated_fat,monounsaturated_fat,polyunsaturated_fat,serving_description,sodium,sugar,vitamin_a,vitamin_c
Apple Pie,39016,Generic,https://www.fatsecret.com/calories-nutrition/usda/apple-pie,11.0,411,57.5,0.0,19.38,0.0,1.74,122.0,3.72,4.728,8.359,5.174,"1 piece (1/8 9"" dia)",327,0.0,17.0,2.6
Apple Pie,39016,Generic,https://www.fatsecret.com/calories-nutrition/usda/apple-pie,7.0,265,37.1,0.0,12.5,0.0,1.12,79.0,2.4,3.05,5.393,3.338,100 g,211,0.0,11.0,1.7
Apple Pie,39016,Generic,https://www.fatsecret.com/calories-nutrition/usda/apple-pie,2.0,75,10.52,0.0,3.54,0.0,0.32,22.0,0.68,0.865,1.529,0.946,1 oz,60,0.0,3.0,0.5
Baby Back Ribs,3066288,Brand,https://www.fatsecret.com/calories-nutrition/signature-cafe/baby-back-ribs,0.0,210,4.0,55.0,15.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,4 ribs,460,3.0,0.0,0.0
Baklava,64613374,Brand,https://www.fatsecret.com/calories-nutrition/mediterranean/baklava,5.0,160,17.0,0.0,9.0,0.0,0.5,33.0,2.0,4.5,0.0,0.0,2 pieces,30,6.0,0.0,0.0
Carpaccio,7406497,Generic,https://www.fatsecret.com/calories-nutrition/generic/carpaccio-beef,22.0,119,0.0,36.0,2.62,0.0,1.92,364.0,22.31,0.898,1.105,0.113,100 g,62,0.0,0.0,0.0
Carpaccio,7406497,Generic,https://www.fatsecret.com/calories-nutrition/generic/carpaccio-beef,4.0,24,0.0,7.0,0.52,0.0,0.38,73.0,4.46,0.18,0.221,0.023,1 slice,12,0.0,0.0,0.0
Carpaccio,7406497,Generic,https://www.fatsecret.com/calories-nutrition/generic/carpaccio-beef,18.0,95,0.0,29.0,2.1,0.0,1.54,291.0,17.85,0.718,0.884,0.09,1 serving (80 g),50,0.0,0.0,0.0
Carpaccio,7406497,Generic,https://www.fatsecret.com/calories-nutrition/generic/carpaccio-beef,50.0,268,0.0,81.0,5.9,0.0,4.32,819.0,50.2,2.02,2.486,0.254,1 cup,140,0.0,0.0,0.0
Steak Tartare (Raw Ground Beef and Egg),2211,Generic,https://www.fatsecret.com/calories-nutrition/generic/steak-tartare-(raw-ground-beef-and-egg),52.0,470,1.41,235.0,32.61,0.2,4.61,638.0,39.83,12.634,14.246,1.292,1 cup,269,0.52,29.0,0.7
Steak Tartare (Raw Ground Beef and Egg),2211,Generic,https://www.fatsecret.com/calories-nutrition/generic/steak-tartare-(raw-ground-beef-and-egg),23.0,210,0.63,105.0,14.56,0.1,2.06,285.0,17.78,5.64,6.36,0.577,100 g,120,0.23,13.0,0.3
Steak Tartare (Raw Ground Beef and Egg),2211,Generic,https://www.fatsecret.com/calories-nutrition/generic/steak-tartare-(raw-ground-beef-and-egg),7.0,60,0.18,30.0,4.13,0.0,0.58,81.0,5.04,1.599,1.803,0.164,1 oz,34,0.07,4.0,0.1
Steak Tartare (Raw Ground Beef and Egg),2211,Generic,https://www.fatsecret.com/calories-nutrition/generic/steak-tartare-(raw-ground-beef-and-egg),39.0,353,1.06,176.0,24.46,0.2,3.46,479.0,29.87,9.475,10.685,0.969,1 serving (168 g),202,0.39,22.0,0.5
Beet Salad with Goat Cheese,30097653,Brand,https://www.fatsecret.com/calories-nutrition/urban-plates/beet-salad-with-goat-cheese,0.0,130,17.0,5.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1 serving,150,0.0,0.0,0.0
Beignets,1180655,Brand,https://www.fatsecret.com/calories-nutrition/cafe-du-monde/beignets,118.0,110,12.0,10.0,7.0,0.0,3.0,510.0,2.0,2.0,0.0,0.0,1 beignets,65,0.0,0.0,0.0
Korean Style Bibimbap Beef,19397154,Brand,https://www.fatsecret.com/calories-nutrition/bibigo/korean-style-bibimbap-beef,0.0,340,56.0,25.0,6.0,3.0,0.0,0.0,13.0,1.5,0.0,0.0,1 bowl,780,18.0,0.0,0.0
